codigo_comuna,codigo_servicio_salud,nombre_servicio_salud,codigo_macro,nombre_macro
01101,2,Iquique,1,Norte
01107,2,Iquique,1,Norte
01401,2,Iquique,1,Norte
01402,2,Iquique,1,Norte
01403,2,Iquique,1,Norte
01404,2,Iquique,1,Norte
01405,2,Iquique,1,Norte
02101,3,Antofagasta,1,Norte
02102,3,Antofagasta,1,Norte
02103,3,Antofagasta,1,Norte
02104,3,Antofagasta,1,Norte
02201,3,Antofagasta,1,Norte
02202,3,Antofagasta,1,Norte
02203,3,Antofagasta,1,Norte
02301,3,Antofagasta,1,Norte
02302,3,Antofagasta,1,Norte
03101,4,Atacama,2,Centro Norte
03102,4,Atacama,2,Centro Norte
03103,4,Atacama,2,Centro Norte
03201,4,Atacama,2,Centro Norte
03202,4,Atacama,2,Centro Norte
03301,4,Atacama,2,Centro Norte
03302,4,Atacama,2,Centro Norte
03303,4,Atacama,2,Centro Norte
03304,4,Atacama,2,Centro Norte
04101,5,Coquimbo,2,Centro Norte
04102,5,Coquimbo,2,Centro Norte
04103,5,Coquimbo,2,Centro Norte
04104,5,Coquimbo,2,Centro Norte
04105,5,Coquimbo,2,Centro Norte
04106,5,Coquimbo,2,Centro Norte
04201,5,Coquimbo,2,Centro Norte
04202,5,Coquimbo,2,Centro Norte
04203,5,Coquimbo,2,Centro Norte
04204,5,Coquimbo,2,Centro Norte
04301,5,Coquimbo,2,Centro Norte
04302,5,Coquimbo,2,Centro Norte
04303,5,Coquimbo,2,Centro Norte
04304,5,Coquimbo,2,Centro Norte
04305,5,Coquimbo,2,Centro Norte
05101,6,Valparaiso San Antonio,2,Centro Norte
05102,6,Valparaiso San Antonio,2,Centro Norte
05103,7,Vina del Mar Quillota,2,Centro Norte
05104,6,Valparaiso San Antonio,2,Centro Norte
05105,7,Vina del Mar Quillota,2,Centro Norte
05107,7,Vina del Mar Quillota,2,Centro Norte
05109,7,Vina del Mar Quillota,2,Centro Norte
05201,6,Valparaiso San Antonio,2,Centro Norte
05301,8,Aconcagua,2,Centro Norte
05302,8,Aconcagua,2,Centro Norte
05303,8,Aconcagua,2,Centro Norte
05304,8,Aconcagua,2,Centro Norte
05401,7,Vina del Mar Quillota,2,Centro Norte
05402,7,Vina del Mar Quillota,2,Centro Norte
05403,7,Vina del Mar Quillota,2,Centro Norte
05404,7,Vina del Mar Quillota,2,Centro Norte
05405,7,Vina del Mar Quillota,2,Centro Norte
05501,7,Vina del Mar Quillota,2,Centro Norte
05502,7,Vina del Mar Quillota,2,Centro Norte
05503,7,Vina del Mar Quillota,2,Centro Norte
05504,7,Vina del Mar Quillota,2,Centro Norte
05506,7,Vina del Mar Quillota,2,Centro Norte
05601,6,Valparaiso San Antonio,2,Centro Norte
05602,6,Valparaiso San Antonio,2,Centro Norte
05603,6,Valparaiso San Antonio,2,Centro Norte
05604,6,Valparaiso San Antonio,2,Centro Norte
05605,6,Valparaiso San Antonio,2,Centro Norte
05606,6,Valparaiso San Antonio,2,Centro Norte
05701,8,Aconcagua,2,Centro Norte
05702,8,Aconcagua,2,Centro Norte
05703,8,Aconcagua,2,Centro Norte
05704,8,Aconcagua,2,Centro Norte
05705,8,Aconcagua,2,Centro Norte
05706,8,Aconcagua,2,Centro Norte
05801,7,Vina del Mar Quillota,2,Centro Norte
05802,7,Vina del Mar Quillota,2,Centro Norte
05803,7,Vina del Mar Quillota,2,Centro Norte
05804,7,Vina del Mar Quillota,2,Centro Norte
06101,15,OHiggins,4,Centro Sur
06102,15,OHiggins,4,Centro Sur
06103,15,OHiggins,4,Centro Sur
06104,15,OHiggins,4,Centro Sur
06105,15,OHiggins,4,Centro Sur
06106,15,OHiggins,4,Centro Sur
06107,15,OHiggins,4,Centro Sur
06108,15,OHiggins,4,Centro Sur
06109,15,OHiggins,4,Centro Sur
06110,15,OHiggins,4,Centro Sur
06111,15,OHiggins,4,Centro Sur
06112,15,OHiggins,4,Centro Sur
06113,15,OHiggins,4,Centro Sur
06114,15,OHiggins,4,Centro Sur
06115,15,OHiggins,4,Centro Sur
06116,15,OHiggins,4,Centro Sur
06117,15,OHiggins,4,Centro Sur
06201,15,OHiggins,4,Centro Sur
06202,15,OHiggins,4,Centro Sur
06203,15,OHiggins,4,Centro Sur
06204,15,OHiggins,4,Centro Sur
06205,15,OHiggins,4,Centro Sur
